target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq
SymGas3_8532trans,0.18709426,0.237658849,1.569090328,1.189404083,0.952986017,3.12861054,0.413894391,2.415469752,0.418371282,2.415469752
SymGas4_82482trans,0.187331809,0.237893416,0.484765808,0.367660861,8.244904925,0.298869983,0.00030961,0.270039407,0.063799736,0.270039407
SymGas2_39472trans,0.18811461,0.238820072,1.129221955,0.857955939,1.360128288,1.626192167,0.162070342,1.310106444,0.690897268,1.310106444
ApoGas2_18631trans,0.188696438,0.239491134,-0.860563832,0.654697398,3.108981337,0.326207081,0.067176426,0.066541799,0.79008094,0.79008094
ApoGas4_57272trans,0.188755744,0.239498826,0.953348795,0.725383387,2.852024505,0.753258899,0.140047343,0.435796731,0.912314774,0.912314774
SymGas2_126419trans,0.189217454,0.240016951,1.480404126,1.127585365,1.041137384,2.805796832,0.10534554,2.437551972,0.476737516,2.437551972
SymGas3_128124trans,0.190439283,0.241498702,1.950651819,1.489865245,1.692970995,4.892352346,0.617984391,3.821412508,0.883251573,3.821412508
SymGas2_26020trans,0.191469761,0.242737031,1.012788982,0.775344701,2.285577171,1.089528402,0.169841247,0.759361381,1.032477562,1.032477562
ApoEpi2_29014trans,0.192060102,0.243416832,-1.102451602,0.845108484,2.229861498,0.925489497,0.399790738,0.274813831,1.028625963,1.028625963
ApoEpi4_41768trans,0.193680261,0.245331967,1.083859044,0.833886104,2.086059741,1.527699037,0.32467165,1.066060417,1.00843693,1.066060417
SymGas1_73747trans,0.193670312,0.245331967,1.932164555,1.486511743,4.223610719,4.854732238,1.13E-12,4.419434322,0.349727295,4.419434322
SymGas1_105609trans,0.193849392,0.245477074,1.251883876,0.963524561,1.102603602,2.039283064,0.586957181,1.26980198,0.51815965,1.26980198
ApoGas4_39703trans,0.196644263,0.248946213,-0.536905359,0.415828119,4.304005106,0.136260324,0.014386608,0.048494648,0.33143944,0.33143944
SymGas1_129357trans,0.1967376,0.248994296,1.57581441,1.220707841,1.234086614,3.263987672,0.099956224,2.880299042,0.60721977,2.880299042
ApoEpi3_20129trans,0.19705195,0.249321989,-1.969123576,1.526456787,1.890013476,5.102248455,0.041739219,4.618401425,0.961583029,4.618401425
SymGas1_41663trans,0.198024104,0.250481558,1.586557388,1.232563455,0.995605141,3.32355439,0.339990359,2.69843498,0.446393649,2.69843498
SymEpi4_17664trans,0.198265066,0.250715847,-0.684208805,0.531833181,4.460511805,0.618634538,0.014672096,0.551020969,0.29893102,0.551020969
SymGas3_78786trans,0.199550399,0.25227029,0.938473714,0.731563122,1.532222918,1.169097292,0.225881284,0.844487919,0.79778925,0.844487919
SymEpi1_66189trans,0.19975925,0.252463363,2.182980564,1.702477196,2.548676493,6.330278786,0.171025088,5.625832115,1.014492697,5.625832115
SymGas2_23396trans,0.200098281,0.252820806,1.076629913,0.840282345,1.351492586,1.541593854,0.204823929,1.207324911,0.685269204,1.207324911
ApoGas4_2286trans,0.200443826,0.253186276,-0.926690753,0.723814227,2.764473795,0.619116005,0.099632991,0.336417097,0.948181078,0.948181078
SymGas4_83484trans,0.201136442,0.253989814,1.665522747,1.302899191,1.606750313,3.702641095,0.128392802,3.266699801,0.839514557,3.266699801
SymGas4_99239trans,0.201477074,0.254277183,-1.788762256,1.400364638,1.544998844,4.275942037,0.075540543,3.846501697,0.805198516,3.846501697
SymGas2_100933trans,0.201469474,0.254277183,1.056865637,0.827372282,3.9072401,1.492638381,0.095035734,1.274054052,0.433778435,1.274054052
SymGas3_73089trans,0.202204316,0.255123426,-1.043247193,0.818042858,2.428155822,0.704558784,0.307143094,0.152053919,1.031245141,1.031245141
SymGas1_117642trans,0.202269114,0.255133616,-1.262066564,0.989768112,1.607585261,1.259459547,1.11932038,-0.180888246,0.839961452,0.839961452
ApoGas2_3869trans,0.202328439,0.255136899,-0.94191692,0.738789795,2.829378899,1.189162757,0.125604992,0.96601573,0.921930794,0.96601573
ApoEpi4_42875trans,0.203218449,0.256187383,-0.603703409,0.474447182,3.956386017,0.372091885,0.030859287,0.281761978,0.419340971,0.419340971
ApoEpi1_11144trans,0.203555272,0.256540099,0.920033173,0.723588061,7.357184739,1.139411179,0.000840699,1.046318664,0.074049555,1.046318664
SymEpi2_8226trans,0.204336441,0.257452468,-1.644735559,1.295788321,1.061000056,3.651302656,0.125459308,3.232675438,0.490076781,3.232675438
SymGas4_69909trans,0.204604566,0.257718101,0.883219232,0.696247689,3.12232773,0.743027516,0.18643801,0.420402021,0.783083678,0.783083678
SymGas1_97600trans,0.206010062,0.259415806,1.622025124,1.28262561,1.550854023,3.571924638,0.135925212,3.154331699,0.808558927,3.154331699
SymEpi4_18361trans,0.206434664,0.259877727,-0.73689107,0.583246424,3.523190978,0.356963387,0.103647231,0.131807238,0.576705553,0.576705553
SymGas4_2262trans,0.206894887,0.26038422,-1.198747588,0.949766489,2.032563595,1.956952595,0.160160132,1.643952636,0.997493949,1.643952636
SymEpi4_12613trans,0.207006165,0.260451393,-0.925454991,0.733416742,2.689668567,0.511689102,0.10041243,0.211069209,0.975387804,0.975387804
SymEpi4_17134trans,0.2090763,0.262982438,-1.645616715,1.310090255,1.092495622,3.716020923,0.246552548,3.186120405,0.511322384,3.186120405
SymGas4_24101trans,0.210906056,0.265209796,-1.135825685,0.907877664,1.703172518,1.157766108,0.760377452,0.160316346,0.888106253,0.888106253
ApoGas4_43213trans,0.211495008,0.265876061,0.567722378,0.454372335,4.078012746,0.245930367,0.027033356,0.152449173,0.385875082,0.385875082
ApoGas2_26851trans,0.211690217,0.266047107,0.599478785,0.479993419,3.908931629,0.312030865,0.027514978,0.216729426,0.433272387,0.433272387
SymGas3_53728trans,0.211788411,0.266096166,1.328359108,1.063825275,1.638808682,2.444252346,0.546031698,1.717416733,0.856344865,1.717416733
SymEpi4_21649trans,0.213029861,0.26758121,-1.002689425,0.805193733,1.667003372,1.398687934,0.206380504,1.09029339,0.870590055,1.09029339
SymEpi2_30704trans,0.21354614,0.268154812,1.217092943,0.978470066,1.663150132,2.064496357,0.425916639,1.488890701,0.868673883,1.488890701
ApoEpi2_7466trans,0.213920894,0.268550427,-1.701434284,1.368971347,1.535104467,4.03982112,0.186128121,3.562036977,0.799469562,3.562036977
ApoGas3_28327trans,0.214857887,0.269651444,-0.431366543,0.347787122,4.865238844,0.136708913,0.010921352,0.086546682,0.230990413,0.230990413
SymGas2_41901trans,0.215146266,0.269938048,-0.903964837,0.72927552,3.073320326,0.552335168,0.25512043,0.116886457,0.808565137,0.808565137
SymGas4_19055trans,0.215567921,0.270391664,1.150835106,0.929292197,2.812382281,1.858835819,0.168173229,1.558994746,0.929004603,1.558994746
SymGas2_86945trans,0.216050824,0.27092183,-0.630338848,0.509530381,3.72037627,0.132208496,0.0246404,-0.002839509,0.494602018,0.494602018
SymEpi2_18543trans,0.21666985,0.271622349,-1.092243256,0.884098395,1.793272814,1.680792905,0.319510501,1.243749445,0.927927465,1.243749445
ApoEpi1_29449trans,0.216910149,0.271696422,-0.538330044,0.435970307,7.119536262,0.408634254,3.11E-31,0.380140218,0.079057057,0.380140218
SymEpi2_8675trans,0.216797485,0.271696422,-1.681794822,1.361679356,1.416209351,3.986702239,3.11E-31,3.708341338,0.726925712,3.708341338
SymGas2_74998trans,0.216868874,0.271696422,1.554455189,1.258773245,1.020878483,3.406683266,0.158277346,3.010742819,0.463191825,3.010742819
SymGas4_64069trans,0.216995453,0.271727603,-0.402198263,0.325783493,5.143001172,0.188045611,0.017039377,0.148426022,0.195230391,0.195230391
SymEpi2_16647trans,0.218191601,0.273149408,-0.933725139,0.758293217,2.871653638,0.623763112,0.246196502,0.190912917,0.903820705,0.903820705
SymGas1_128863trans,0.219388452,0.274571302,1.16980112,0.952485858,2.496823149,1.946231578,0.058323357,1.756135264,1.023836511,1.756135264
SymGas4_75869trans,0.221615791,0.277204624,1.343569517,1.099265567,1.237319469,2.587282221,0.148971562,2.267798014,0.609398262,2.267798014
SymGas4_82840trans,0.221606728,0.277204624,-0.983148373,0.804364748,1.869419349,0.720194509,0.338796459,0.179236894,0.955208837,0.955208837
ApoGas3_55517trans,0.222738601,0.278531618,-0.653144525,0.535681273,4.194785424,0.613806951,0.022411206,0.551497647,0.356565396,0.551497647
ApoGas2_25744trans,0.223640732,0.279581993,-0.402113162,0.330439502,5.016248603,0.20908671,0.00777821,0.182257953,0.210602319,0.210602319
ApoGas3_21721trans,0.224305081,0.280334607,-1.292837882,1.063924012,2.129788335,2.418010175,0.59599453,1.667874077,1.016060489,1.667874077
SymGas3_20403trans,0.224406154,0.280383022,1.24941233,1.028411809,2.047063828,2.259090362,0.463355571,1.651906127,1.00061734,1.651906127
SymGas1_85415trans,0.224508996,0.280433619,1.274845489,1.049579143,2.674029534,2.352836939,0.241757364,1.961475391,0.980578885,1.961475391
SymGas2_44230trans,0.225113395,0.281110508,1.909670459,1.574280975,1.983059297,5.290572797,0.233628777,4.723092399,0.986296459,4.723092399
SymGas2_117321trans,0.22522717,0.281174525,-1.155646431,0.952917583,1.063938554,1.938237199,0.186471214,1.629632627,0.492054506,1.629632627
SymEpi2_33497trans,0.2257392,0.28173555,-1.361011321,1.123495709,1.385022476,2.693087848,0.7651766,1.759308617,0.707007386,1.759308617
SymEpi1_71720trans,0.2258849,0.28183919,1.073361773,0.886323269,1.970673789,1.675862607,0.324174512,1.246963364,0.983325854,1.246963364
SymGas2_44455trans,0.227084491,0.28325736,1.498155023,1.240293924,0.923844027,3.278412164,0.036538391,3.040119643,0.399471392,3.040119643
ApoGas2_30494trans,0.227444802,0.283628145,-1.056658223,0.875465614,2.675596658,1.632904815,0.215427858,1.317452226,0.980067217,1.317452226
ApoEpi4_27141trans,0.227581617,0.283720097,-1.938816577,1.606826911,2.151638726,5.500104583,0.08532485,5.07846059,1.019397335,5.07846059
ApoGas3_63210trans,0.228058703,0.28421136,0.940125464,0.779944612,1.933048715,0.540209187,0.242871783,0.092760306,0.973755412,0.973755412
SymEpi3_9452trans,0.228102047,0.28421136,1.640236027,1.360895456,1.81683233,3.943597964,0.468176,3.235896883,0.937044726,3.235896883
ApoEpi1_9284trans,0.230558701,0.287192755,-0.92527324,0.77175503,2.229857344,0.71352359,0.162586061,0.384481271,1.02862559,1.02862559
SymEpi2_44094trans,0.23155299,0.288351426,0.623333079,0.521021198,3.692004882,0.409493211,0.037731526,0.310495844,0.505194652,0.505194652
SymGas2_4886trans,0.231885706,0.288685831,1.07048232,0.895414882,1.908146111,1.701868362,0.16479248,1.438743143,0.966889887,1.438743143
SymEpi4_7107trans,0.232904953,0.28987451,-1.091041521,0.914605706,1.810589042,1.654914454,0.738316029,0.795626967,0.934691164,0.934691164
SymGas1_127185trans,0.23380295,0.290911666,1.42424535,1.196221984,1.124193431,3.032616293,0.256267614,2.605626455,0.532784708,2.605626455
ApoEpi4_40606trans,0.235120413,0.292470027,-0.88537125,0.74571907,2.710141925,1.118441086,0.143877103,0.899676747,0.96831676,0.96831676
