ko04612	04612 Antigen processing and presentation [PATH:ko04612]	
ko04660	04660 T cell receptor signaling pathway [PATH:ko04660]	
ko04658	04658 Th1 and Th2 cell differentiation [PATH:ko04658]	
ko04659	04659 Th17 cell differentiation [PATH:ko04659]	
ko04657	04657 IL-17 signaling pathway [PATH:ko04657]	
ko04662	04662 B cell receptor signaling pathway [PATH:ko04662]	
ko04664	04664 Fc epsilon RI signaling pathway [PATH:ko04664]	
ko04666	04666 Fc gamma R-mediated phagocytosis [PATH:ko04666]	
ko04670	04670 Leukocyte transendothelial migration [PATH:ko04670]	
ko04672	04672 Intestinal immune network for IgA production [PATH:ko04672]	
ko04062	04062 Chemokine signaling pathway [PATH:ko04062]	
ko04911	04911 Insulin secretion [PATH:ko04911]	
ko04910	04910 Insulin signaling pathway [PATH:ko04910]	
ko04922	04922 Glucagon signaling pathway [PATH:ko04922]	
ko04923	04923 Regulation of lipolysis in adipocytes [PATH:ko04923]	
ko04920	04920 Adipocytokine signaling pathway [PATH:ko04920]	
ko03320	03320 PPAR signaling pathway [PATH:ko03320]	
ko04929	04929 GnRH secretion [PATH:ko04929]	
ko04912	04912 GnRH signaling pathway [PATH:ko04912]	
ko04913	04913 Ovarian steroidogenesis [PATH:ko04913]	
ko04915	04915 Estrogen signaling pathway [PATH:ko04915]	
ko04914	04914 Progesterone-mediated oocyte maturation [PATH:ko04914]	
ko04917	04917 Prolactin signaling pathway [PATH:ko04917]	
ko04921	04921 Oxytocin signaling pathway [PATH:ko04921]	
ko04926	04926 Relaxin signaling pathway [PATH:ko04926]	
ko04935	"04935 Growth hormone synthesis, secretion and action [PATH:ko04935]"	
ko04918	04918 Thyroid hormone synthesis [PATH:ko04918]	
ko04919	04919 Thyroid hormone signaling pathway [PATH:ko04919]	
ko04928	"04928 Parathyroid hormone synthesis, secretion and action [PATH:ko04928]"	
ko04916	04916 Melanogenesis [PATH:ko04916]	
ko04924	04924 Renin secretion [PATH:ko04924]	
ko04614	04614 Renin-angiotensin system [PATH:ko04614]	
ko04925	04925 Aldosterone synthesis and secretion [PATH:ko04925]	
ko04927	04927 Cortisol synthesis and secretion [PATH:ko04927]	
ko04260	04260 Cardiac muscle contraction [PATH:ko04260]	
ko04261	04261 Adrenergic signaling in cardiomyocytes [PATH:ko04261]	
ko04270	04270 Vascular smooth muscle contraction [PATH:ko04270]	
ko04970	04970 Salivary secretion [PATH:ko04970]	
ko04971	04971 Gastric acid secretion [PATH:ko04971]	
ko04972	04972 Pancreatic secretion [PATH:ko04972]	
ko04976	04976 Bile secretion [PATH:ko04976]	
ko04973	04973 Carbohydrate digestion and absorption [PATH:ko04973]	
ko04974	04974 Protein digestion and absorption [PATH:ko04974]	
ko04975	04975 Fat digestion and absorption [PATH:ko04975]	
ko04979	04979 Cholesterol metabolism [PATH:ko04979]	
ko04977	04977 Vitamin digestion and absorption [PATH:ko04977]	
ko04978	04978 Mineral absorption [PATH:ko04978]	
ko04962	04962 Vasopressin-regulated water reabsorption [PATH:ko04962]	
ko04960	04960 Aldosterone-regulated sodium reabsorption [PATH:ko04960]	
ko04961	04961 Endocrine and other factor-regulated calcium reabsorption [PATH:ko04961]	
ko04964	04964 Proximal tubule bicarbonate reclamation [PATH:ko04964]	
ko04966	04966 Collecting duct acid secretion [PATH:ko04966]	
ko04724	04724 Glutamatergic synapse [PATH:ko04724]	
ko04727	04727 GABAergic synapse [PATH:ko04727]	
ko04725	04725 Cholinergic synapse [PATH:ko04725]	
ko04728	04728 Dopaminergic synapse [PATH:ko04728]	
ko04726	04726 Serotonergic synapse [PATH:ko04726]	
ko04720	04720 Long-term potentiation [PATH:ko04720]	
ko04730	04730 Long-term depression [PATH:ko04730]	
ko04723	04723 Retrograde endocannabinoid signaling [PATH:ko04723]	
ko04721	04721 Synaptic vesicle cycle [PATH:ko04721]	
ko04722	04722 Neurotrophin signaling pathway [PATH:ko04722]	
ko04744	04744 Phototransduction [PATH:ko04744]	
ko04745	04745 Phototransduction - fly [PATH:ko04745]	
ko04740	04740 Olfactory transduction [PATH:ko04740]	
ko04742	04742 Taste transduction [PATH:ko04742]	
ko04750	04750 Inflammatory mediator regulation of TRP channels [PATH:ko04750]	
ko04320	04320 Dorso-ventral axis formation [PATH:ko04320]	
ko04360	04360 Axon guidance [PATH:ko04360]	
ko04361	04361 Axon regeneration [PATH:ko04361]	
ko04380	04380 Osteoclast differentiation [PATH:ko04380]	
ko04211	04211 Longevity regulating pathway [PATH:ko04211]	
ko04212	04212 Longevity regulating pathway - worm [PATH:ko04212]	
ko04213	04213 Longevity regulating pathway - multiple species [PATH:ko04213]	
ko04710	04710 Circadian rhythm [PATH:ko04710]	
ko04713	04713 Circadian entrainment [PATH:ko04713]	
ko04711	04711 Circadian rhythm - fly [PATH:ko04711]	
ko04712	04712 Circadian rhythm - plant [PATH:ko04712]	
ko04714	04714 Thermogenesis [PATH:ko04714]	
ko04626	04626 Plant-pathogen interaction [PATH:ko04626]	
ko05200	05200 Pathways in cancer [PATH:ko05200]	
ko05202	05202 Transcriptional misregulation in cancer [PATH:ko05202]	
ko05206	05206 MicroRNAs in cancer [PATH:ko05206]	
ko05205	05205 Proteoglycans in cancer [PATH:ko05205]	
ko05204	05204 Chemical carcinogenesis - DNA adducts [PATH:ko05204]	
ko05207	05207 Chemical carcinogenesis - receptor activation [PATH:ko05207]	
ko05208	05208 Chemical carcinogenesis - reactive oxygen species [PATH:ko05208]	
ko05203	05203 Viral carcinogenesis [PATH:ko05203]	
ko05230	05230 Central carbon metabolism in cancer [PATH:ko05230]	
