target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq
ApoGas1_5707trans,0.638270926,0.908942423,-0.763976248,1.625074406,2.546053577,4.693960186,0.656246599,4.62548705,0.546756597,4.62548705
ApoGas1_43642trans,0.645379823,0.908942423,0.461792545,1.003482278,1.315129663,1.787174984,0.549173141,1.464780223,1.184205926,1.464780223
ApoGas2_26851trans,0.648957169,0.908942423,0.199144854,0.43747775,3.142048613,0.295459411,0.050334274,0.281148815,0.33243929,0.33243929
ApoGas3_8436trans,0.65983225,0.908942423,0.398577652,0.905560327,1.408875038,1.152886562,0.467534595,0.824545013,1.172544417,1.172544417
ApoGas3_31948trans,0.662657174,0.908942423,-0.25438198,0.583113909,3.082668021,0.432850913,0.332539791,0.150882877,0.34750387,0.34750387
ApoGas3_54241trans,0.640621691,0.908942423,0.227326125,0.486957239,2.998900458,0.314062003,0.103883942,0.245296005,0.370370763,0.370370763
ApoGas4_13298trans,0.657431189,0.908942423,-0.448828107,1.012099194,2.989465217,1.172739691,1.675616534,-0.374569118,0.373073023,0.373073023
ApoGas4_30322trans,0.657447625,0.908942423,0.333224829,0.751454423,3.781780183,0.999754654,0.048187059,1.081180441,0.218460112,1.081180441
ApoGas4_33818trans,0.66523923,0.908942423,0.530893304,1.226956967,1.10493501,2.66125374,0.25798427,2.752862526,1.173941803,2.752862526
ApoGas4_36788trans,0.646710623,0.908942423,0.230009309,0.5018349,2.891768953,0.357609551,0.100984132,0.29859225,0.402692403,0.402692403
SymEpi1_2882trans,0.652552605,0.908942423,0.331793272,0.736959881,3.236968294,0.961518813,0.776085111,0.308991246,0.310134621,0.310134621
SymEpi1_7376trans,0.660297478,0.908942423,-0.698316261,1.58887896,1.126054229,4.467103916,0.017967049,5.031105653,1.177177976,5.031105653
SymEpi1_25315trans,0.663721673,0.908942423,-0.352743072,0.811312777,1.850789068,1.098685866,0.321163395,0.919160891,0.995293449,0.995293449
SymEpi1_42752trans,0.648036538,0.908942423,0.130882239,0.286713381,4.942989714,0.061401877,0.011054004,0.054871465,0.153355121,0.153355121
SymEpi1_49096trans,0.648485229,0.908942423,-0.306960849,0.673355346,2.341844188,0.416461142,0.23652174,0.217941271,0.670293104,0.670293104
SymEpi1_73124trans,0.654824253,0.908942423,0.411025038,0.919374371,1.968750191,0.502677416,0.765740954,-0.235597829,0.924757515,0.924757515
SymEpi3_14294trans,0.654870152,0.908942423,0.421731913,0.943457493,1.240293805,1.576722871,0.25693031,1.523293771,1.186237211,1.523293771
SymEpi4_13249trans,0.666524037,0.908942423,-0.281503247,0.65325582,2.629476818,0.309326448,0.35077317,-0.016307006,0.502713163,0.502713163
SymEpi4_25545trans,0.661723693,0.908942423,-0.141890305,0.324295055,4.134692181,0.055722572,0.021915561,0.036383153,0.188419004,0.188419004
SymEpi4_27615trans,0.655973238,0.908942423,-0.369607959,0.829685588,1.784376019,1.195731368,0.346558899,1.002924349,1.03019745,1.03019745
SymEpi4_30301trans,0.639302958,0.908942423,0.342998221,0.731848814,2.22313617,0.352894059,0.329391678,0.043102131,0.741813697,0.741813697
SymEpi4_31125trans,0.646198211,0.908942423,-0.324408097,0.706694364,2.488309097,0.787170552,0.41848011,0.46480533,0.580353739,0.580353739
SymEpi2_6540trans,0.6663103,0.908942423,0.374668866,0.868863042,1.231550019,0.849948051,0.323788049,0.621025758,1.186057922,1.186057922
SymEpi2_37984trans,0.656609789,0.908942423,-0.780702909,1.755972101,2.10254916,5.460035758,0.555405793,5.611470247,0.827003601,5.611470247
SymEpi2_46270trans,0.663528907,0.908942423,-0.470005897,1.080358631,2.183599376,2.063986906,0.170797319,2.163552224,0.768446218,2.163552224
SymEpi2_58732trans,0.653426541,0.908942423,-0.672151466,1.496972941,1.087992352,3.970673002,0.83514753,3.646708441,1.171003308,3.646708441
