target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq
ApoGas1_1075trans,5.89E-05,0.001329891,2.537338541,0.631631578,2.020784162,2.430393531,0.195730597,0.493699565,0.602186304,0.602186304
SymGas4_5285trans,6.57E-05,0.001463898,1.659431176,0.415763342,6.365853622,1.08310479,0.003714378,0.342003935,0.098751883,0.342003935
SymEpi3_40690trans,6.78E-05,0.001490538,1.309377649,0.328666819,3.714272851,0.635556464,0.046876017,0.123116582,0.169167739,0.169167739
ApoGas4_37880trans,7.23E-05,0.001570314,-2.095528675,0.528049753,4.61398813,1.732645622,0.036541702,0.521131381,0.125324281,0.521131381
SymEpi3_56004trans,7.43E-05,0.001592343,-1.060202108,0.267587998,4.508650409,0.378855488,0.014768939,0.052552961,0.128437735,0.128437735
SymEpi2_22240trans,8.27E-05,0.001749298,-3.176907348,0.807027638,1.42280128,3.101383533,0.195888862,0.058145161,1.106698356,1.106698356
ApoEpi4_6043trans,9.68E-05,0.002013737,-3.641653305,0.93410203,1.3346249,4.072942163,0.538805944,-0.207586351,1.206287261,1.206287261
SymGas2_119129trans,9.75E-05,0.002013737,1.943557184,0.498777192,4.533265124,1.505739044,0.09003243,0.407524946,0.127683338,0.407524946
SymGas2_75581trans,0.000100154,0.002042892,-1.675194319,0.430616916,2.847161145,1.013095039,0.096721327,0.14979755,0.274140529,0.274140529
SymEpi4_29155trans,0.000102712,0.002070131,-1.073343546,0.276343278,4.301884852,0.404556903,0.017133683,0.070827248,0.135597532,0.135597532
SymEpi3_1434trans,0.000130037,0.002590022,1.7671822,0.461840664,3.707529632,1.257918206,0.153350802,0.273242797,0.169663564,0.273242797
ApoGas2_30551trans,0.000139574,0.002747664,1.463233534,0.384159527,4.465970026,0.864721037,0.02455254,0.270604545,0.129789488,0.270604545
ApoEpi3_20021trans,0.00014704,0.00283014,-1.417343236,0.373376457,5.326443461,0.812949063,0.006645415,0.272174542,0.109616983,0.272174542
