target_id	length	eff_length	est_counts	tpm
ApoEc3_7362trans	417	305.014	0	0
ApoEc3_7364trans	300	977.513	3.04547	0.404085
ApoEc3_7570trans	474	2199.15	22.1673	1.30737
ApoEc3_7572trans	420	1842.32	435.5	30.6594
ApoEc3_8394trans	414	2952.58	26.3057	1.15555
ApoEc3_8548trans	582	3214.04	35.5725	1.4355
ApoEc3_9013trans	858	4990.87	7.47545	0.194268
ApoEc3_10016trans	372	1541.93	4.15644	0.349622
ApoEc3_10095trans	408	1940.3	0	0
ApoEc3_10096trans	540	2822.43	0	0
ApoEc3_10120trans	339	1656.46	2.38163	0.186481
ApoEc3_10121trans	309	197.536	5.49836	3.61016
ApoEc3_10749trans	549	2664.56	12	0.584113
ApoEc3_11183trans	564	451.879	62.648	17.9815
ApoEc3_11585trans	552	2453.24	18.6919	0.988224
ApoEc3_11586trans	378	1434.54	48.265	4.36375
ApoEc3_11587trans	414	302.014	12.6828	5.44663
ApoEc3_11588trans	381	641.252	7.59455	1.53608
ApoEc3_11589trans	477	2263.92	0	0
ApoEc3_11881trans	2004	12707.6	0	0
ApoEc3_13980trans	345	2007.14	11.3151	0.731177
ApoEc3_14402trans	894	4848.01	172.725	4.62096
ApoEc3_14690trans	684	3637.65	7.6338	0.272183
ApoEc3_14859trans	606	1135.59	50.702	5.79089
ApoEc3_15178trans	669	3558.34	125.406	4.57101
ApoEc3_15187trans	477	1895.09	0	0
ApoEc3_15375trans	456	1928.17	13.2854	0.89366
ApoEc3_15424trans	579	3342.04	188.653	7.32138
ApoEc3_15426trans	615	3019.51	54.846	2.35586
ApoEc3_15769trans	732	3977.04	5.89861	0.192367
ApoEc3_15770trans	468	2442.2	33.8355	1.79693
ApoEc3_16800trans	702	3040.03	7.08363	0.302217
ApoEc3_16801trans	1131	2393.94	7.37799	0.399728
ApoEc3_16934trans	447	1817.51	27.8148	1.9849
ApoEc3_17155trans	1821	4308.56	60.2519	1.81376
ApoEc3_17361trans	1872	1759.88	4.60423	0.339324
ApoEc3_17367trans	372	260.098	0.341717	0.1704
ApoEc3_17368trans	306	194.552	0	0
ApoEc3_18813trans	921	5590.65	2.28945	0.053114
ApoEc3_19601trans	357	1554.05	1.16312	0.0970733
ApoEc3_19602trans	789	1797.36	20.0588	1.44747
ApoEc3_19603trans	336	1102.61	2.02964	0.238748
ApoEc3_19605trans	402	832.982	12.3677	1.92572
ApoEc3_19608trans	591	3191.19	6.22885	0.25316
ApoEc3_19609trans	306	1222.2	34.0513	3.61353
ApoEc3_20015trans	321	1156.22	21.3685	2.39704
ApoEc3_20021trans	372	1594.17	291.733	23.7352
ApoEc3_20129trans	330	569.08	69.1321	15.7561
ApoEc3_20141trans	876	4655.64	0	0
ApoEc3_20443trans	549	2750.05	2.73205	0.128851
ApoEc3_21005trans	522	2551.56	0	0
ApoEc3_21537trans	669	3367.8	39.0881	1.50536
ApoEc3_21596trans	2121	11504.4	174.071	1.96247
ApoEc3_21597trans	882	4609.82	7.82537	0.220172
ApoEc3_21653trans	984	871.879	10.557	1.57046
ApoEc3_21655trans	561	2518.75	0	0
ApoEc3_21662trans	321	209.395	0.760246	0.470899
ApoEc3_21664trans	618	2809.64	0	0
ApoEc3_21666trans	363	251.098	3.64131	1.88085
ApoEc3_21953trans	492	2457.77	280.225	14.7879
ApoEc3_22074trans	330	860.403	4724	712.113
ApoEc3_22090trans	1098	6067.5	12.4518	0.266173
ApoEc3_22106trans	2211	13819.1	65.315	0.613018
ApoEc3_22200trans	315	1018.26	21.5839	2.74923
ApoEc3_22661trans	390	1512.95	9.59779	0.82279
ApoEc3_22798trans	330	1217.19	12.2479	1.3051
ApoEc3_22799trans	300	1023.11	150.944	19.1353
ApoEc3_23252trans	300	1251.23	126	13.0609
ApoEc3_23279trans	381	1754.6	61.0861	4.51549
ApoEc3_23282trans	888	4929.45	142.992	3.7623
